testDate,expression,movement,quality,benchmarkPct
03/07/2023,isometric,upper body,pull,
04/07/2023,dynamic,agility,acceleration,0.32
10/07/2023,dynamic,agility,deceleration,0.867
18/07/2023,isometric,jump,take off,
20/07/2023,dynamic,upper body,pull,0.8525
30/07/2023,isometric,upper body,grapple,
31/07/2023,isometric,jump,land,
11/08/2023,isometric,sprint,acceleration,
18/08/2023,dynamic,agility,deceleration,0.868
25/08/2023,dynamic,upper body,push,0.4
31/08/2023,isometric,upper body,pull,
01/09/2023,dynamic,jump,take off,0.6985
05/09/2023,isometric,agility,rotate,
07/09/2023,dynamic,jump,take off,0.7085
11/09/2023,dynamic,upper body,push,0.388
13/09/2023,isometric,upper body,grapple,
14/09/2023,isometric,agility,acceleration,0.52
20/09/2023,dynamic,sprint,max velocity,0.5845
24/09/2023,isometric,agility,rotate,
28/09/2023,dynamic,agility,acceleration,0.4305
28/09/2023,isometric,sprint,max velocity,
29/09/2023,isometric,upper body,pull,
18/10/2023,isometric,agility,deceleration,1.038
22/10/2023,dynamic,jump,land,0.6615
10/11/2023,isometric,jump,take off,
12/11/2023,isometric,jump,take off,
13/11/2023,dynamic,jump,take off,0.651
18/11/2023,dynamic,jump,pre-load,0.5085
18/11/2023,isometric,upper body,grapple,
20/11/2023,isometric,agility,deceleration,1.038
27/11/2023,dynamic,sprint,acceleration,0.4305
28/11/2023,isometric,sprint,acceleration,0.52
03/12/2023,isometric,upper body,pull,
06/12/2023,dynamic,jump,take off,0.64
10/12/2023,dynamic,agility,deceleration,0.87
10/12/2023,isometric,sprint,acceleration,0.52
16/12/2023,dynamic,jump,take off,0.6355
20/12/2023,dynamic,upper body,push,0.43
22/12/2023,dynamic,upper body,pull,0.87
25/12/2023,dynamic,sprint,max velocity,0.634
26/12/2023,dynamic,agility,deceleration,0.87
28/12/2023,dynamic,jump,take off,0.64
02/01/2024,isometric,sprint,max velocity,
04/01/2024,isometric,agility,rotate,
09/01/2024,dynamic,jump,land,0.69
26/01/2024,dynamic,jump,land,0.668
29/01/2024,isometric,upper body,pull,
31/01/2024,isometric,sprint,max velocity,
04/02/2024,dynamic,jump,pre-load,0.53
06/02/2024,isometric,upper body,grapple,
17/02/2024,dynamic,upper body,push,0.4345
12/03/2024,dynamic,jump,pre-load,0.5
13/03/2024,dynamic,agility,deceleration,0.89
14/03/2024,dynamic,sprint,max velocity,0.637
15/03/2024,isometric,upper body,push,0.704
17/03/2024,isometric,jump,pre-load,0.52
30/03/2024,dynamic,agility,acceleration,0.44
31/03/2024,isometric,upper body,pull,
04/04/2024,dynamic,sprint,max velocity,0.628
11/04/2024,dynamic,sprint,acceleration,0.433
13/04/2024,isometric,sprint,max velocity,-0.2
14/04/2024,isometric,jump,pre-load,0.52
16/04/2024,isometric,agility,deceleration,1.1365
19/04/2024,isometric,agility,acceleration,0.52
19/04/2024,dynamic,agility,deceleration,0.89
25/04/2024,isometric,agility,rotate,
08/05/2024,dynamic,upper body,push,0.43
10/05/2024,dynamic,sprint,max velocity,0.625
12/05/2024,dynamic,sprint,acceleration,0.43
20/05/2024,isometric,sprint,acceleration,0.49
26/05/2024,dynamic,jump,pre-load,0.4655
14/06/2024,isometric,agility,acceleration,0.49
15/06/2024,dynamic,jump,land,0.723
17/06/2024,dynamic,jump,land,0.723
17/06/2024,dynamic,upper body,push,0.43
28/06/2024,dynamic,jump,pre-load,0.4655
28/06/2024,dynamic,sprint,acceleration,0.436
30/06/2024,dynamic,agility,deceleration,0.89
08/07/2024,dynamic,jump,take off,0.687
12/07/2024,isometric,jump,land,0.42
19/07/2024,isometric,upper body,pull,
13/08/2024,dynamic,jump,land,0.652
19/08/2024,isometric,sprint,acceleration,0.7305
23/08/2024,dynamic,upper body,pull,0.855
28/08/2024,dynamic,sprint,acceleration,0.428
31/08/2024,dynamic,agility,acceleration,0.428
16/09/2024,dynamic,sprint,acceleration,0.4955
23/09/2024,dynamic,agility,deceleration,0.896
05/10/2024,isometric,jump,take off,0.426
09/10/2024,dynamic,agility,acceleration,0.498
24/10/2024,isometric,jump,pre-load,0.6935
02/11/2024,isometric,agility,acceleration,0.677
13/11/2024,dynamic,jump,land,0.666
13/11/2024,isometric,upper body,push,0.936
23/11/2024,isometric,upper body,push,0.936
02/12/2024,isometric,agility,deceleration,0.8655
17/12/2024,isometric,jump,take off,0.4
29/12/2024,dynamic,upper body,push,0.498
04/01/2025,isometric,upper body,grapple,0.6705
04/01/2025,dynamic,sprint,max velocity,0.663
13/01/2025,isometric,agility,rotate,0.6675
21/01/2025,dynamic,jump,land,0.7465
22/01/2025,isometric,jump,land,0.46
23/01/2025,dynamic,jump,pre-load,0.53
23/01/2025,dynamic,sprint,acceleration,0.5
06/02/2025,isometric,agility,rotate,0.6415
08/02/2025,isometric,sprint,acceleration,0.79
18/02/2025,dynamic,jump,land,0.745
23/02/2025,dynamic,upper body,pull,0.87
26/02/2025,dynamic,jump,land,0.745
26/02/2025,isometric,agility,rotate,0.6385
28/02/2025,isometric,jump,take off,0.3955
08/03/2025,dynamic,agility,deceleration,0.88
08/03/2025,isometric,sprint,max velocity,0.77
25/07/2023,dynamic,upper body,push,0.345
28/07/2023,isometric,agility,rotate,
02/08/2023,isometric,agility,deceleration,0.781
08/08/2023,dynamic,upper body,push,0.37
12/08/2023,dynamic,jump,take off,0.7335
19/08/2023,dynamic,upper body,pull,0.87
04/09/2023,isometric,upper body,push,
10/09/2023,dynamic,sprint,max velocity,0.5845
16/09/2023,isometric,agility,acceleration,0.52
17/09/2023,dynamic,sprint,max velocity,0.5845
02/10/2023,dynamic,sprint,max velocity,0.5705
05/10/2023,dynamic,agility,acceleration,0.4305
05/10/2023,dynamic,sprint,acceleration,0.4305
06/10/2023,dynamic,sprint,max velocity,0.5705
13/10/2023,isometric,upper body,pull,
16/10/2023,dynamic,jump,take off,0.72
19/10/2023,dynamic,jump,take off,0.72
21/10/2023,dynamic,jump,pre-load,0.564
07/11/2023,isometric,sprint,acceleration,0.52
09/11/2023,dynamic,upper body,push,0.431
15/11/2023,isometric,sprint,acceleration,0.52
25/11/2023,dynamic,upper body,push,0.4305
05/12/2023,isometric,jump,pre-load,0.52
27/12/2023,isometric,jump,pre-load,0.52
05/01/2024,isometric,sprint,acceleration,0.52
07/01/2024,isometric,sprint,max velocity,
08/01/2024,dynamic,upper body,push,0.426
16/01/2024,dynamic,agility,deceleration,0.879
