sessionDate,seasonName,metric,category,value
02/07/2023,2023/2024,bio_baseline_completeness,bio,0
02/07/2023,2023/2024,bio_baseline_composite,bio,
02/07/2023,2023/2024,emboss_baseline_score,total,
02/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
02/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
02/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
02/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
02/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
02/07/2023,2023/2024,sleep_baseline_composite,sleep,
02/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
02/07/2023,2023/2024,soreness_baseline_composite,soreness,
02/07/2023,2023/2024,subjective_baseline_completeness,subjective,0
02/07/2023,2023/2024,subjective_baseline_composite,subjective,
03/07/2023,2023/2024,bio_baseline_completeness,bio,0
03/07/2023,2023/2024,bio_baseline_composite,bio,
03/07/2023,2023/2024,emboss_baseline_score,total,
03/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
03/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
03/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
03/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
03/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
03/07/2023,2023/2024,sleep_baseline_composite,sleep,
03/07/2023,2023/2024,soreness_baseline_completeness,soreness,0
03/07/2023,2023/2024,soreness_baseline_composite,soreness,
03/07/2023,2023/2024,subjective_baseline_completeness,subjective,0
03/07/2023,2023/2024,subjective_baseline_composite,subjective,
04/07/2023,2023/2024,bio_baseline_completeness,bio,0
04/07/2023,2023/2024,bio_baseline_composite,bio,
04/07/2023,2023/2024,emboss_baseline_score,total,0
04/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
04/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
04/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
04/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
04/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
04/07/2023,2023/2024,sleep_baseline_composite,sleep,
04/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
04/07/2023,2023/2024,soreness_baseline_composite,soreness,0
04/07/2023,2023/2024,subjective_baseline_completeness,subjective,0
04/07/2023,2023/2024,subjective_baseline_composite,subjective,
05/07/2023,2023/2024,bio_baseline_completeness,bio,0
05/07/2023,2023/2024,bio_baseline_composite,bio,
05/07/2023,2023/2024,emboss_baseline_score,total,0
05/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
05/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
05/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
05/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
05/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
05/07/2023,2023/2024,sleep_baseline_composite,sleep,
05/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.064516129
05/07/2023,2023/2024,soreness_baseline_composite,soreness,0
05/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.010752688
05/07/2023,2023/2024,subjective_baseline_composite,subjective,0
06/07/2023,2023/2024,bio_baseline_completeness,bio,0
06/07/2023,2023/2024,bio_baseline_composite,bio,
06/07/2023,2023/2024,emboss_baseline_score,total,0
06/07/2023,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0
06/07/2023,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,
06/07/2023,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0
06/07/2023,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,
06/07/2023,2023/2024,sleep_baseline_completeness,sleep,0
06/07/2023,2023/2024,sleep_baseline_composite,sleep,
06/07/2023,2023/2024,soreness_baseline_completeness,soreness,0.032258065
06/07/2023,2023/2024,soreness_baseline_composite,soreness,0
06/07/2023,2023/2024,subjective_baseline_completeness,subjective,0.075268817
